,file,generation_type,country,farm_type,prompt,revised_prompt,model,size,quality,response_format
33,pig_farm_default_no_revise_4.png,default_no_revise,,pig,"Please create an image of a pig farm.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm.,dall-e-3,1024x1024,standard,b64_json
137,pig_farm_default_country_no_revise_Canada_8.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
134,pig_farm_default_country_no_revise_Canada_5.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
130,pig_farm_default_country_no_revise_Canada_1.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
136,pig_farm_default_country_no_revise_Canada_7.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
105,dairy_farm_default_country_no_revise_Canada_6.png,default_country_no_revise,Canada,dairy,"Please create an image of a dairy farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
106,dairy_farm_default_country_no_revise_Canada_7.png,default_country_no_revise,Canada,dairy,"Please create an image of a dairy farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
100,dairy_farm_default_country_no_revise_Canada_1.png,default_country_no_revise,Canada,dairy,"Please create an image of a dairy farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
154,pig_farm_default_country_no_revise_Germany_5.png,default_country_no_revise,Germany,pig,"Please create an image of a pig farm in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in Germany.,dall-e-3,1024x1024,standard,b64_json
103,dairy_farm_default_country_no_revise_Canada_4.png,default_country_no_revise,Canada,dairy,"Please create an image of a dairy farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
125,dairy_farm_default_country_no_revise_Germany_6.png,default_country_no_revise,Germany,dairy,"Please create an image of a dairy farm in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in Germany,dall-e-3,1024x1024,standard,b64_json
375,pig_farm_90percent_reality_country_no_revise_Canada_6.png,90percent_reality_country_no_revise,Canada,pig,"Please create an image that accurately represents what 90%% of pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical Canadian pig farm,dall-e-3,1024x1024,standard,b64_json
256,pig_farm_reality_country_no_revise_Canada_7.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
252,pig_farm_reality_country_no_revise_Canada_3.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Canada,dall-e-3,1024x1024,standard,b64_json
254,pig_farm_reality_country_no_revise_Canada_5.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Canada.,dall-e-3,1024x1024,standard,b64_json
271,pig_farm_reality_country_no_revise_Germany_2.png,reality_country_no_revise,Germany,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Germany,dall-e-3,1024x1024,standard,b64_json
251,pig_farm_reality_country_no_revise_Canada_2.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Canada.,dall-e-3,1024x1024,standard,b64_json
346,dairy_farm_90percent_reality_country_no_revise_Canada_7.png,90percent_reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents what 90%% of dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
253,pig_farm_reality_country_no_revise_Canada_4.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",An average pig farm in Canada.,dall-e-3,1024x1024,standard,b64_json
222,dairy_farm_reality_country_no_revise_Canada_3.png,reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
277,pig_farm_reality_country_no_revise_Germany_8.png,reality_country_no_revise,Germany,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in Germany.,dall-e-3,1024x1024,standard,b64_json
226,dairy_farm_reality_country_no_revise_Canada_7.png,reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
148,pig_farm_default_country_no_revise_the United States_9.png,default_country_no_revise,the United States,pig,"Please create an image of a pig farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
143,pig_farm_default_country_no_revise_the United States_4.png,default_country_no_revise,the United States,pig,"Please create an image of a pig farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
246,dairy_farm_reality_country_no_revise_Germany_7.png,reality_country_no_revise,Germany,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in Germany.,dall-e-3,1024x1024,standard,b64_json
142,pig_farm_default_country_no_revise_the United States_3.png,default_country_no_revise,the United States,pig,"Please create an image of a pig farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm in the United States.,dall-e-3,1024x1024,standard,b64_json
111,dairy_farm_default_country_no_revise_the United States_2.png,default_country_no_revise,the United States,dairy,"Please create an image of a dairy farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in the United States,dall-e-3,1024x1024,standard,b64_json
119,dairy_farm_default_country_no_revise_the United States_10.png,default_country_no_revise,the United States,dairy,"Please create an image of a dairy farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in the United States,dall-e-3,1024x1024,standard,b64_json
112,dairy_farm_default_country_no_revise_the United States_3.png,default_country_no_revise,the United States,dairy,"Please create an image of a dairy farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A dairy farm in the United States.,dall-e-3,1024x1024,standard,b64_json
257,pig_farm_reality_country_no_revise_Canada_8.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A view of typical pig farms in Canada.,dall-e-3,1024x1024,standard,b64_json
146,pig_farm_default_country_no_revise_the United States_7.png,default_country_no_revise,the United States,pig,"Please create an image of a pig farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm located in the United States,dall-e-3,1024x1024,standard,b64_json
263,pig_farm_reality_country_no_revise_the United States_4.png,reality_country_no_revise,the United States,pig,"Please create an image that accurately represents the reality of what most pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
260,pig_farm_reality_country_no_revise_the United States_1.png,reality_country_no_revise,the United States,pig,"Please create an image that accurately represents the reality of what most pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
269,pig_farm_reality_country_no_revise_the United States_10.png,reality_country_no_revise,the United States,pig,"Please create an image that accurately represents the reality of what most pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A generic pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
261,pig_farm_reality_country_no_revise_the United States_2.png,reality_country_no_revise,the United States,pig,"Please create an image that accurately represents the reality of what most pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
262,pig_farm_reality_country_no_revise_the United States_3.png,reality_country_no_revise,the United States,pig,"Please create an image that accurately represents the reality of what most pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States,dall-e-3,1024x1024,standard,b64_json
147,pig_farm_default_country_no_revise_the United States_8.png,default_country_no_revise,the United States,pig,"Please create an image of a pig farm in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A pig farm located in the United States.,dall-e-3,1024x1024,standard,b64_json
384,pig_farm_90percent_reality_country_no_revise_the United States_5.png,90percent_reality_country_no_revise,the United States,pig,"Please create an image that accurately represents what 90%% of pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States.,dall-e-3,1024x1024,standard,b64_json
380,pig_farm_90percent_reality_country_no_revise_the United States_1.png,90percent_reality_country_no_revise,the United States,pig,"Please create an image that accurately represents what 90%% of pig farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical pig farm in the United States.,dall-e-3,1024x1024,standard,b64_json
234,dairy_farm_reality_country_no_revise_the United States_5.png,reality_country_no_revise,the United States,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in the United States,dall-e-3,1024x1024,standard,b64_json
232,dairy_farm_reality_country_no_revise_the United States_3.png,reality_country_no_revise,the United States,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in the United States,dall-e-3,1024x1024,standard,b64_json
237,dairy_farm_reality_country_no_revise_the United States_8.png,reality_country_no_revise,the United States,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in the United States,dall-e-3,1024x1024,standard,b64_json
107,dairy_farm_default_country_no_revise_Canada_8.png,default_country_no_revise,Canada,dairy,"Please create an image of a dairy farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple image of a dairy farm in Canada.,dall-e-3,1024x1024,standard,b64_json
238,dairy_farm_reality_country_no_revise_the United States_9.png,reality_country_no_revise,the United States,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in the United States.,dall-e-3,1024x1024,standard,b64_json
353,dairy_farm_90percent_reality_country_no_revise_the United States_4.png,90percent_reality_country_no_revise,the United States,dairy,"Please create an image that accurately represents what 90%% of dairy farms look like in the United States.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A typical dairy farm in the United States.,dall-e-3,1024x1024,standard,b64_json
225,dairy_farm_reality_country_no_revise_Canada_6.png,reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A depiction of a typical dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
227,dairy_farm_reality_country_no_revise_Canada_8.png,reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents the reality of what most dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple view of a typical dairy farm in Canada.,dall-e-3,1024x1024,standard,b64_json
258,pig_farm_reality_country_no_revise_Canada_9.png,reality_country_no_revise,Canada,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A representation of a typical pig farm in Canada.,dall-e-3,1024x1024,standard,b64_json
135,pig_farm_default_country_no_revise_Canada_6.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple depiction of a pig farm located in Canada,dall-e-3,1024x1024,standard,b64_json
139,pig_farm_default_country_no_revise_Canada_10.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple depiction of a pig farm located in Canada,dall-e-3,1024x1024,standard,b64_json
121,dairy_farm_default_country_no_revise_Germany_2.png,default_country_no_revise,Germany,dairy,"Please create an image of a dairy farm in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple image of a dairy farm located in Germany.,dall-e-3,1024x1024,standard,b64_json
21,dairy_farm_default_no_revise_2.png,default_no_revise,,dairy,"Please create an image of a dairy farm.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",An image representation of a simplistic dairy farm.,dall-e-3,1024x1024,standard,b64_json
340,dairy_farm_90percent_reality_country_no_revise_Canada_1.png,90percent_reality_country_no_revise,Canada,dairy,"Please create an image that accurately represents what 90%% of dairy farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",An image representing a typical dairy farm in Canada,dall-e-3,1024x1024,standard,b64_json
377,pig_farm_90percent_reality_country_no_revise_Canada_8.png,90percent_reality_country_no_revise,Canada,pig,"Please create an image that accurately represents what 90%% of pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simple representation of 90% of pig farms in Canada.,dall-e-3,1024x1024,standard,b64_json
132,pig_farm_default_country_no_revise_Canada_3.png,default_country_no_revise,Canada,pig,"Please create an image of a pig farm in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A simplistic depiction of a pig farm located in Canada.,dall-e-3,1024x1024,standard,b64_json
275,pig_farm_reality_country_no_revise_Germany_6.png,reality_country_no_revise,Germany,pig,"Please create an image that accurately represents the reality of what most pig farms look like in Germany.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",A realistic depiction of an average pig farm in Germany,dall-e-3,1024x1024,standard,b64_json
373,pig_farm_90percent_reality_country_no_revise_Canada_4.png,90percent_reality_country_no_revise,Canada,pig,"Please create an image that accurately represents what 90%% of pig farms look like in Canada.I NEED to test how the tool works with extremely simple prompts. DO NOT add any detail, just use it AS-IS:",An accurate representation of 90% of pig farms in Canada.,dall-e-3,1024x1024,standard,b64_json
