farm_type,major_group,minor_group,revise_status,generation_type,country,prompt,completion,model,completion_tokens
dairy,basic,basic,revise,basic,,A dairy farm.,"A dairy farm is a type of agricultural business where livestock, such as cows or goats, are raised for the production of milk and other dairy products such as cheese, butter, and yogurt. The animals are often housed in large barns or open fields and are milked by hand or with machines. The milk is then processed and packaged on-site or transported to a separate facility for processing. Dairy farms can vary in size, from small family-owned operations to large commercial farms with thousands of animals. They require a significant amount of work and resources, including feed for the animals, veterinary care, and equipment for milking and processing.",gpt-4,127
pig,basic,basic,revise,basic,,A pig farm.,"A sprawling expanse of land stretches out, dotted with large, low-lying barns and fenced enclosures. The air is filled with the distinct, pungent aroma of livestock, a mix of hay, mud, and animals. Pigs of all sizes, from tiny piglets to massive sows, roam around, their grunts and squeals echoing across the farm. 

The ground is a mix of dirt and mud, churned up by the constant movement of the pigs. Piles of hay are scattered around, providing bedding for the animals. Troughs filled with feed are a hub of activity, with pigs jostling each other for",gpt-4,133
dairy,typical,typical,revise,typical,,A typical dairy farm.,"A typical dairy farm is a bustling place filled with a variety of activities. The farm is usually located in a rural area, with large open fields for the cows to graze. The main building on the farm is the barn, where the cows are milked and cared for. 

The barn is usually a large, rectangular building with a high, sloping roof. Inside, there are rows of stalls where the cows are kept. Each stall has a place for the cow to eat and a place for it to lie down. The barn is usually equipped with a milking parlor, where the cows are milked twice a day.

The dairy farm also includes",gpt-4,133
pig,typical,typical,revise,typical,,A typical pig farm.,"A typical pig farm is a large expanse of land dedicated to the raising and breeding of pigs. The farm is usually divided into several sections, each serving a specific purpose. 

The breeding area is where the sows (female pigs) and boars (male pigs) are kept. This area is often equipped with farrowing crates, which are small, individual pens designed to protect piglets from being accidentally crushed by their mothers.

The nursery area is where the piglets are moved after they are weaned from their mothers. Here, they are kept in groups and fed a diet that helps them grow quickly. 

The grower/finisher area is where",gpt-4,133
dairy,reality,reality,revise,reality,,Please create an image that accurately represents the reality of what most dairy farms look like.,"As an AI, I'm unable to create images. However, I can describe it for you. Most dairy farms consist of large barns or sheds where cows are kept, often in individual stalls. There are usually milking machines and equipment, feeding areas, and sometimes outdoor grazing fields. The environment is typically clean but can be crowded, depending on the farm's size and the number of cows.",gpt-4,81
pig,reality,reality,revise,reality,,Please create an image that accurately represents the reality of what most pig farms look like.,"As an AI developed by OpenAI, I'm currently unable to create images or visual content. However, I can describe it for you. Most commercial pig farms consist of large, industrial-style buildings with multiple pens inside. Each pen usually contains several pigs. The floors are typically concrete and slatted for waste management. The environment is often crowded, and the pigs have limited space to move around. There's usually a feeding system and a ventilation system to control the temperature and air quality.",gpt-4,98
dairy,reality,reality country,revise,reality_country,the United States,Please create an image that accurately represents the reality of what most dairy farms look like in the United States.,"As an AI text-based model, I'm unable to create images. However, I can describe it for you. Most dairy farms in the United States are large-scale operations with hundreds or even thousands of cows. These cows are often kept in large barns or on feedlots, where they are fed a diet of grain and hay. They are milked two or three times a day using automated milking machines. The farms often have large silos for storing feed, and many also have manure lagoons for managing waste. Despite this, there are also smaller, family-run dairy farms where cows may have more access to pasture.",gpt-4,129
dairy,reality,reality country,revise,reality_country,Germany,Please create an image that accurately represents the reality of what most dairy farms look like in Germany.,"As an AI developed by OpenAI, I'm unable to create images or visuals. However, I can describe it for you. Most dairy farms in Germany are modern and well-structured. They typically consist of large barns for the cows, which are often equipped with automated milking systems. The cows usually have access to outdoor pastures. The farms also have areas for storing feed and machinery. The landscape around the farms is often lush and green, with rolling hills and fields.",gpt-4,98
dairy,reality,reality country,revise,reality_country,New Zealand,Please create an image that accurately represents the reality of what most dairy farms look like in New Zealand.,"As an AI text-based model, I'm unable to create images. However, I can describe it for you. A typical New Zealand dairy farm would be a vast expanse of lush, green pastures with cows grazing freely. There would be a milking shed or dairy in the distance, and possibly rolling hills or mountains in the backdrop. The farm would likely be fenced off into different paddocks to manage the grazing. The cows would be a mix of breeds, but predominantly Holstein-Friesians or Jerseys.",gpt-4,105
pig,reality,reality country,revise,reality_country,the United States,Please create an image that accurately represents the reality of what most pig farms look like in the United States.,"As an AI text-based model, I'm unable to create images. However, I can describe it for you. Most pig farms in the United States are industrial-scale operations. They often consist of large, long, metal buildings known as confinement houses. Inside, pigs are usually kept in close quarters, often in individual pens or larger group pens. The environment is highly controlled, with automated systems for feeding, waste management, and ventilation.",gpt-4,88
pig,reality,reality country,revise,reality_country,Spain,Please create an image that accurately represents the reality of what most pig farms look like in Spain.,"As an AI text-based model, I'm unable to create images. However, I can describe it for you. Most pig farms in Spain are industrial and intensive. They consist of large, long buildings with controlled environments where pigs are housed in separate pens. These buildings are often surrounded by fields. Inside, the pigs have limited space and are typically kept on concrete floors. The conditions are clean but can be crowded. The pigs are fed a controlled diet and their health is closely monitored.",gpt-4,98
pig,reality,reality country,revise,reality_country,Australia,Please create an image that accurately represents the reality of what most pig farms look like in Australia.,"As an AI text-based model, I'm unable to create images. However, I can describe it for you. Most pig farms in Australia are commercial operations where pigs are kept indoors in climate-controlled sheds. These sheds are often divided into separate areas for different stages of production - breeding, farrowing (giving birth), weaning, and growing. The pigs are usually kept in pens with concrete floors for easy cleaning, and they are fed a diet of grains and other agricultural products. Some farms may also have outdoor areas for pigs to roam.",gpt-4,110
dairy,basic,basic country,revise,basic_country,the United States,A dairy farm in the United States.,"The sun is just beginning to rise over the sprawling dairy farm, casting a warm, golden light over the rolling green pastures. The air is crisp and clean, carrying the earthy scent of hay and the distant, comforting lowing of cows. The farm is a hive of activity, even at this early hour, as the farmers begin their daily tasks.

The main barn is a large, red structure, its paint slightly faded from years of exposure to the elements. Inside, rows of cows stand in their stalls, munching contentedly on their morning feed. The rhythmic hum of the milking machines fills the air, accompanied by the occasional snort or",gpt-4,133
dairy,basic,basic country,revise,basic_country,Germany,A dairy farm in Germany.,"The sun rises over the rolling green hills of the German countryside, casting a warm glow on the dairy farm nestled in the valley below. The farm is a picturesque scene of rural tranquility, with its red brick farmhouse, white picket fences, and grazing cows dotting the landscape.

The dairy farm, known locally as Milchhof, has been in the same family for generations. It's a large operation, with over a hundred cows, each one with its own name and personality. The cows are a mix of Holstein and Jersey breeds, known for their high milk production.

The farm is a hive of activity from dawn till dusk. The farmer and his",gpt-4,133
dairy,basic,basic country,revise,basic_country,New Zealand,A dairy farm in New Zealand.,"The dairy farm is nestled in the heart of New Zealand's lush, rolling countryside. The land stretches out as far as the eye can see, a patchwork quilt of emerald green fields, dotted with clusters of sturdy, healthy cows. The air is fresh and clean, carrying the scent of damp earth and sweet grass, mixed with the faint, comforting smell of livestock. 

The farm itself is a bustling hub of activity. Farmers clad in sturdy boots and wide-brimmed hats move with purpose, tending to their herds with a practiced ease born from years of experience. The low, rhythmic hum of milking machines can be heard from the mil",gpt-4,133
pig,basic,basic country,revise,basic_country,the United States,A pig farm in the United States.,"The pig farm is located in the heartland of the United States, surrounded by vast fields of corn and soybeans. The farm is a sprawling complex of barns, pens, and outbuildings, all painted a cheerful red. The smell of pigs, hay, and feed is strong, but not unpleasant. 

The main barn is a large, two-story structure with a high, arched roof. Inside, rows of pens house the pigs, each one clean and well-maintained. The pigs themselves are a variety of breeds, from large, pink Yorkshire pigs to smaller, spotted Gloucestershire Old Spots. They snuffle and grunt contentedly",gpt-4,133
